magnitude,felt,cdi,mmi,tsunami,sig,nst,dmin,rms,gap,depth,latitude,longitude,distanceKM,timezone
5.1,4,4,6,0,402,233,0.367,0.48,23,7.148,41.2186,78.724,121,480
5.5,2,5,7,0,466,133,0.432,0.65,59,10,41.1979,78.6168,128,480
5.4,3,4,6,0,450,99,0.382,0.63,75,10,41.3326,78.7686,124,480
5.8,2,8,7,0,652,142,0.454,0.53,59,10,41.2946,78.6076,129,480
7,482,9,9,0,2419,121,0.428,0.64,29,13,41.2938,78.5937,128,480
6.4,111,5,4,0,687,140,3.122,1.02,17,204,36.5061,70.5994,45,270
5.1,8,5,6,0,404,119,3.023,0.97,32,10,33.2109,76.7733,31,330
5.5,275,6,5,0,807,118,0.806,0.6,35,45.057,23.1278,90.927,9,360
5.2,1,3,6,0,416,98,6.056,0.6,37,10,39.2438,97.2769,74,480
5.7,69,7,7,0,551,117,0.251,0.84,45,15.733,21.226,99.333,76,390
5.3,1,3,7,0,432,267,1.205,0.63,24,7.204,40.5164,77.7055,0,480
5.7,372,7,8,0,922,232,2.95,0.94,21,12,28.8879,82.195,43,345
5.4,2,4,7,0,449,211,6.068,0.46,29,10,39.2654,97.3075,71,480
5.2,87,4,5,0,453,101,1.848,0.82,29,25.706,27.8679,84.7191,36,345
5.7,131,8,7,0,605,226,3.93,0.33,23,13,29.5163,81.2118,39,345
4.9,69,7,6,0,416,119,3.799,0.6,36,10,25.9591,90.6152,28,330
5.3,163,6,5,0,535,153,2.358,0.75,16,36.648,24.9743,92.2176,16,360
5.8,25,5,4,0,531,211,2.347,0.88,15,209,36.4512,70.7023,47,270
5.5,5,5,5,0,468,101,1.154,1.27,57,15.711,31.6412,131.796,40,540
5.7,5,3,4,0,502,166,1.739,0.75,39,28.953,29.7999,130.855,57,540
6.1,60,5,6,0,601,144,0.451,0.6,17,14,23.784,121.759,30,480
5.4,54,5,5,0,476,106,0.358,0.77,34,11.732,24.3858,121.917,45,480
6.5,6,3,3,1,652,157,1.405,0.75,17,402.166,47.1777,144.763,151,600
5.3,1,2,5,0,432,116,5.601,0.87,85,18.196,31.8881,131.341,15,540
7.1,43,8,8,0,810,252,5.748,0.74,34,24,31.7491,131.482,0,540
5.6,6,3,4,0,484,157,0.628,1.17,30,91,33.536,140.175,161,540
5.4,1,2,3,0,449,137,1.325,1.01,30,34.723,33.4887,141.284,206,540
5.7,29,7,7,0,519,319,1.171,0.53,37,9,37.4574,137.239,40,540
5.5,4,3,3,0,466,173,2.036,0.69,20,392.698,32.2768,137.61,210,540
5.4,0,0,4,0,449,297,1.08,1.09,15,59.788,26.1835,141.391,0,540
5.8,24,5,6,0,529,103,0.68,0.77,27,11.296,24.191,121.899,38,480
5.2,30,8,5,0,440,124,0.413,0.97,35,28.949,23.7143,121.588,27,480
5.6,36,6,6,0,502,121,0.427,0.84,35,23.605,23.7257,121.581,28,480
5.2,26,5,4,0,430,252,0.506,0.76,21,40.475,24.2257,121.706,29,480
5.7,150,5,5,0,581,259,0.581,0.54,22,37.767,24.1449,121.674,20,480
5.3,0,0,3,0,432,140,1.676,0.84,28,10,28.7699,142.53,0,600
5.8,10,8,6,0,525,275,0.513,0.72,24,12,23.8026,121.676,22,480
5.4,0,0,6,0,449,209,0.503,0.67,35,8.991,23.808,121.634,22,480
5.4,0,0,5,0,449,223,0.38,0.63,35,5.83,23.698,121.574,35,480
5.5,2,3,6,0,466,115,0.392,0.67,67,17,23.6512,121.606,35,480
6.1,82,7,8,0,711,120,0.526,0.65,22,10,23.8672,121.538,13,480
6.1,66,7,7,1,621,119,0.462,0.76,35,9,23.7241,121.641,29,480
5.8,77,5,6,0,556,121,0.42,0.74,44,8,23.7288,121.562,27,480
5.6,22,5,6,0,493,97,0.435,0.87,35,10,23.7158,121.63,30,480
5,0,0,6,0,385,53,0.454,1.27,73,10,23.7229,121.638,28,480
6.3,101,8,8,0,731,386,1.351,0.81,29,32,33.1621,132.387,18,540
5.9,2,2,4,0,536,293,2.352,0.49,30,7.556,29.4708,131.736,147,540
5.4,0,0,3,0,449,144,1.138,0.46,48,26.386,40.9054,143.213,141,600
6.1,32,4,4,0,586,304,2.7,0.64,59,29,37.7196,141.924,77,540
5.7,6,6,5,0,503,131,0.694,0.78,24,41.798,24.1954,121.932,41,480
5.7,2,3,5,0,500,63,0.595,0.62,67,26.363,23.7873,121.784,27,480
5.3,0,1,5,0,432,99,0.606,0.69,41,16.869,23.8555,121.803,28,480
5.6,0,0,6,0,482,135,0.591,0.72,27,14.297,24.1465,121.743,24,480
5.3,0,0,6,0,432,109,0.619,0.7,52,10.789,23.9598,121.595,2,480
5.6,2,7,6,0,484,115,0.594,0.69,49,15.864,24.1609,121.71,21,480
6.4,49,8,7,0,667,183,0.63,0.77,50,13.931,24.0651,121.673,15,480
7.4,638,9,8,1,1423,322,0.337,0.93,17,40,23.819,121.562,15,480
5.9,15,7,5,0,546,147,0.806,0.98,29,73,40.1385,141.706,7,540
5.3,0,0,3,0,432,119,2.896,1.09,25,35,24.3178,142.875,0,600
5.6,2,5,6,0,483,238,2.264,0.51,78,20,28.4231,130.134,49,540
5.6,35,6,4,0,504,122,2.4,0.78,71,44,37.1035,141.143,21,540
5.4,0,0,3,0,449,191,2.096,0.58,29,45.09,29.1913,141.553,0,540
5.9,14,4,5,0,542,147,0.416,0.88,24,10,37.8706,137.708,53,540
5.4,1,2,7,0,449,619,1.347,0.48,26,6,37.2326,136.788,11,540
5.6,0,0,7,0,482,146,0.856,0.71,50,10,37.5249,137.408,54,540
5.5,1,6,6,0,466,130,0.835,0.73,43,10,37.5575,137.384,56,540
5.6,0,0,7,0,482,148,1.296,0.52,67,10,37.2969,136.946,7,540
6.2,5,9,7,0,596,185,1.278,0.4,32,10,37.1959,136.87,8,540
7.5,413,9,9,1,2368,282,0.957,0.55,36,10,37.4976,137.242,0,540
5.8,1,4,7,0,518,279,0.968,0.47,53,10,37.5067,137.239,42,540
6.5,3,6,5,0,652,156,4.647,0.9,34,31,44.5796,148.99,115,600
5.8,11,4,4,0,522,315,0.977,0.56,54,42,41.168,142.247,82,540
5.8,1,3,4,0,518,261,5.875,0.65,37,84,45.9031,151.003,262,600
5.6,0,0,4,0,482,126,5.173,0.83,96,77.731,44.9541,149.755,148,600
5.9,51,6,4,0,565,240,0.544,0.6,35,31,24.0602,122.646,59,480
5.7,0,0,4,0,500,129,1.431,0.87,32,13.261,25.1583,125.542,46,480
5.3,1,1,3,0,432,190,5.149,0.68,53,10,29.7869,140.026,0,540
5.4,0,0,3,0,449,244,5.127,0.54,48,10,29.758,140.021,0,540
5.5,1,1,4,0,465,197,3.004,0.63,90,10,30.1289,140.022,0,540
6.1,1,1,4,0,573,91,2.968,0.92,62,10,30.044,140.005,0,540
5.7,0,0,4,0,500,187,3.023,0.48,85,10,30.0809,139.98,0,540
5.7,0,0,4,0,500,274,3.162,0.71,88,10,30.0036,139.831,0,540
5.3,0,0,3,0,432,271,3.185,0.75,46,10,29.9804,139.887,0,540
5.4,0,0,3,0,449,161,3.211,0.91,53,10,29.99,139.968,0,540
6.1,2,1,4,0,573,218,3.262,0.89,37,10,29.959,139.948,0,540
